!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56994.4380403   -10.724         -0.603        
 56994.4923395   -7.364          -2.898        
 56999.4002401   -7.603          -2.943        
 56999.4091834   -5.696          -0.277        
 57001.3755286   -7.427          -2.813        
 57001.3871037   -11.0           -0.702        
 57003.397642    -11.191         -0.636        
 57004.3961042   -10.949         -0.572        
 57005.3926259   -11.153         -0.599        
 57005.4591826   -7.576          -2.85         
 57008.4178578   -7.344          -2.832        
 57008.4294552   -10.69          -0.6          
 57010.3834236   -11.079         -0.641        
 57010.4493004   -5.822          -0.219        
 57012.4255153   -7.809          -2.731        
 57013.4405038   -10.997         -0.574        
 57015.4180741   -10.75          -0.58         
 57015.4907347   -7.288          -2.902        
 57015.5023178   -10.795         -0.51         
 57015.5574115   -5.575          -0.209        
 57018.4065571   -11.061         -0.668        
 57018.4077776   -5.802          -0.293        
 57022.423212    -7.554          -2.843        
 57022.4348117   -11.012         -0.584        
 57024.3838196   -11.246         -0.643        
 57025.403201    -11.331         -0.728        
 57027.4145578   -7.232          -2.965        
 57029.4396739   -7.054          -3.049        
 57029.4512763   -10.664         -0.77         
 57035.43474     -11.056         -0.7          
 57036.3850179   -7.526          -3.012        
 57036.3966281   -10.942         -0.729        
 57036.4509292   -7.142          -2.977        
 57038.4237448   -5.88           -0.285        
 57041.4236009   -5.873          -0.299        
 57042.4226752   -7.251          -2.832        
 57043.4316961   -7.393          -2.99         
 57043.4638381   -7.308          -3.042        
 57043.4754212   -10.86          -0.65         
 57047.4319846   -7.457          -2.901        
 57047.4409171   -5.707          -0.292        
 57050.4084023   -7.648          -2.883        
 57050.4199977   -11.154         -0.588        
 57051.4500995   -11.224         -0.724        
 57051.4513216   -5.901          -0.237        
 57052.2659907   -7.064          -3.066        
 57054.4489032   -5.703          -0.398        
 57057.4559066   -7.135          -3.22         
 57057.4674753   -10.611         -0.85         
 57057.5228101   -10.898         -0.864        
 57061.377312    -11.042         -0.817        
 57064.3898912   -7.335          -3.042        
 57064.4015048   -10.774         -0.655        
 57065.4607472   -7.562          -3.052        
