!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57270.4985374   1.888           0.58          
 57271.4932757   5.103           0.345         
 57271.5021281   4.544           0.616         
 57271.5551957   1.829           0.631         
 57272.495424    4.668           0.477         
 57273.4558998   2.13            0.565         
 57275.6290202   1.722           0.541         
 57276.4687299   4.926           0.269         
 57277.4808525   1.791           0.57          
 57278.5641529   4.48            0.22          
 57278.5726872   3.89            0.598         
 57282.4671236   1.715           0.726         
 57282.6749749   1.852           0.721         
 57283.4872847   4.631           0.226         
 57285.5031935   4.387           0.098         
 57285.5119754   4.021           0.572         
 57292.4710111   4.671           0.229         
 57292.4795369   4.125           0.685         
 57292.5670604   4.721           0.215         
 57292.5773944   1.686           0.688         
 57295.5057872   4.838           0.191         
 57295.5161132   1.691           0.565         
 57298.4740286   4.075           0.689         
 57299.4804356   4.459           0.119         
 57299.4893385   3.867           0.708         
 57299.5241755   1.717           0.654         
 57300.1748521   4.089           0.245         
 57300.1829489   1.486           0.589         
 57300.191392    3.602           0.649         
 57300.1994992   1.401           0.607         
 57306.5593181   4.635           0.287         
 57306.5680496   4.002           0.642         
 57306.6218558   1.735           0.608         
 57310.4998097   4.258           0.153         
 57310.5101469   1.694           0.555         
 57311.4692474   4.046           0.499         
 57321.4698996   4.687           0.205         
 57321.4783916   4.031           0.682         
 57327.487577    1.977           0.671         
 57327.5012503   4.305           0.623         
 57328.4542165   5.021           0.23          
 57328.4627104   4.139           0.659         
 57329.4007176   4.718           0.191         
 57331.1444056   3.633           0.272         
 57331.1525508   1.336           0.624         
 57331.1612821   2.905           0.557         
 57331.1693643   1.034           0.563         
 57335.4412364   4.238           0.052         
 57335.4497639   3.934           0.442         
 57335.4923849   1.79            0.47          
 57336.4559838   3.941           0.663         
 57338.4491532   1.691           0.356         
 57340.4528431   4.375           0.171         
 57340.4764352   3.661           0.56          
 57342.4664272   4.809           -0.085        
 57342.4749134   3.437           0.199         
 57342.5200196   1.762           0.576         
 57343.452342    4.161           0.534         
 57347.450607    4.88            0.191         
 57349.438995    4.97            -0.024        
 57349.4475117   4.309           0.605         
 57356.4548519   10.069          1.455         
 57356.4633644   8.849           2.195         
 57357.4410491   0.06            -0.172        
 57358.5986025   -1.165          0.199         
 57358.8339705   0.064           1.001         
 57359.468682    -0.038          -0.043        
 57360.4445983   0.14            0.33          
 57363.4465253   5.741           1.532         
 57363.4550256   4.312           1.982         
 57370.4499586   5.566           1.645         
 57370.4587341   3.835           2.292         
 57377.4500192   5.056           1.422         
 57377.458486    3.815           2.169         
 57377.549639    2.247           1.383         
 57377.5688993   3.96            2.156         
 57378.4353247   5.61            1.627         
 57380.4239216   3.135           1.725         
 57384.4694845   5.315           1.533         
 57384.4779816   3.806           2.088         
 57391.4653341   4.96            1.486         
 57391.473833    3.481           2.091         
 57397.4419029   2.111           1.454         
 57398.4468815   5.21            1.785         
 57398.4553664   3.902           2.278         
 57399.4569523   4.503           2.327         
 57401.4482173   1.665           1.462         
 57405.4909045   5.159           1.656         
 57405.4993885   3.908           2.155         
 57412.4983366   5.443           1.453         
 57412.5068121   3.804           2.135         
 57419.5145024   5.375           1.865         
 57419.5230204   3.96            2.336         
 57423.4489482   4.114           2.398         
 57424.443831    2.25            1.297         
 57426.5128808   5.586           1.638         
 57426.5213951   4.253           2.142         
 57427.4911176   2.213           1.434         
 57428.48345     1.67            1.374         
 57431.4781418   6.563           2.104         
 57433.4976644   4.991           1.535         
 57433.5061617   3.699           2.176         
 57439.5321321   5.782           1.655         
 57440.4896357   6.055           1.651         
 57440.4981351   4.594           2.247         
 57440.8377456   4.266           2.419         
 57442.4256084   7.443           2.243         
 57453.4729897   -1.211          1.193         
 57454.4954029   -0.411          1.781         
 57454.5254041   -2.075          2.163         
