!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57079.8137352   2.484           1.557         
 57080.4725365   3.264           1.314         
 57087.5344413   2.371           1.495         
 57087.535821    0.882           1.33          
 57092.531137    2.571           1.394         
 57092.5396484   1.767           1.537         
 57093.4988761   1.977           1.19          
 57097.4028914   0.277           1.517         
 57099.5129394   3.205           1.49          
 57099.521467    2.573           1.521         
 57110.391951    2.88            1.464         
 57111.5134363   3.949           1.499         
 57111.5219521   2.96            1.844         
 57118.506685    -2.166          1.234         
 57118.5152269   -2.632          1.376         
 57118.5924215   -1.876          1.267         
 57118.6017679   -2.477          1.397         
 57118.6031357   -1.511          1.306         
 57119.4991687   -2.124          1.416         
 57120.1704256   -2.305          1.479         
 57124.4870086   -0.168          0.695         
 57125.5218873   1.041           0.336         
 57125.5304023   0.677           0.481         
 57125.5888814   0.675           0.731         
 57126.488314    2.169           0.424         
 57127.5073785   0.469           0.823         
 57128.4993964   1.96            0.636         
 57130.4730856   0.304           0.765         
 57132.5151801   2.277           0.5           
 57132.5237015   1.834           0.607         
 57133.486903    0.572           0.654         
 57136.4671317   1.928           0.497         
 57139.4394817   1.811           0.486         
 57139.4480023   1.292           0.618         
 57140.3389841   1.083           0.544         
 57142.5006129   1.741           0.396         
 57146.5021369   2.366           0.527         
 57146.5106541   1.926           0.655         
 57146.5711558   0.654           0.845         
 57146.5721419   2.399           0.474         
 57146.588078    0.469           0.882         
 57157.5598637   2.799           -1.462        
 57157.5701724   2.443           -1.092        
 57157.5715412   0.75            -0.257        
 57160.5324333   1.877           -0.962        
 57161.5066325   2.751           -1.258        
 57161.5169731   0.507           -0.173        
 57163.5205733   2.03            -1.267        
 57163.529081    1.512           -0.974        
 57164.499567    1.693           -0.985        
 57164.5009398   0.402           -0.259        
 57166.5349407   2.846           -1.171        
 57167.4363515   1.903           -0.911        
 57169.4976348   2.181           -0.98         
 57170.5145471   2.64            -1.348        
 57170.5230564   1.942           -0.957        
 57172.5078771   2.778           -1.331        
 57173.4959097   0.538           -0.168        
 57175.6376998   1.525           -1.011        
 57176.495048    0.404           -0.184        
 57176.4960283   2.095           -1.09         
 57177.554071    1.872           -1.211        
 57177.5625775   1.162           -1.165        
 57184.5523594   2.658           -1.265        
 57184.5608785   2.092           -1.134        
 57185.5390646   2.535           -1.413        
 57185.5404468   0.702           -0.072        
 57191.5125436   2.986           -1.027        
 57191.5210745   2.297           -0.926        
 57191.5726875   3.119           -1.005        
 57191.5830023   0.644           -0.02         
 57192.5273739   1.902           -0.83         
 57192.5863272   2.0             -0.855        
 57195.5106963   0.883           -0.106        
 57195.518708    2.318           -0.965        
 57197.6448858   0.694           -0.204        
 57198.546335    3.049           -1.262        
 57198.5548942   2.354           -0.956        
 57199.5679029   2.926           -1.064        
 57199.5770666   2.22            -1.07         
 57202.4530898   0.476           -1.077        
 57203.5356827   1.175           -0.195        
 57203.5366563   3.511           -1.439        
 57203.5593893   0.894           -0.235        
 57203.5603714   2.779           -1.098        
 57205.7845284   3.421           -1.262        
 57205.7930293   2.655           -1.041        
 57206.4989613   3.648           -1.383        
 57206.5092554   2.935           -1.048        
 57212.5562838   2.966           -1.283        
 57212.5650623   2.188           -0.988        
 57213.4796042   0.85            -0.2          
 57213.4876143   0.589           -0.28         
 57216.5418873   2.797           -0.841        
 57216.5435408   0.964           -0.147        
 57219.5288853   3.217           -1.11         
 57219.5374784   2.404           -0.849        
 57220.5371555   0.909           -0.007        
 57220.5452525   2.269           -0.811        
 57220.5466297   0.636           -0.019        
 57223.5516439   3.149           -0.985        
 57223.5530215   0.939           0.007         
 57223.5762416   2.337           -0.874        
 57223.577616    0.734           -0.017        
