!mjd_obs        !mean_dy        
!---------------!---------------
 57963.5187447   1.252
 57963.5726852   -0.124
 57969.528907    1.463
 57969.537423    -0.234
 57969.5865164   1.461
 57970.5230987   -0.088
 57974.5873868   1.785
 57974.6570349   1.564
 57974.6670789   0.128
 57980.5878523   1.396
 57980.5978564   -0.386
 57983.5202561   1.538
 57983.5287355   -0.199
 57983.6270983   -0.493
 57986.5585003   1.185
 57989.5800806   1.545
 57990.6726943   1.155
 57990.6811782   -0.121
 57992.4912432   1.495
 57997.4994351   1.014
 57997.5079214   -0.408
 58001.552466    1.091
 58004.516825    1.535
 58004.5253251   0.0
 58004.6369732   0.178
 58007.5333657   -0.11
 58011.4995808   0.808
 58011.5403019   -0.795
 58011.6574051   -0.863
 58013.5328652   1.077
 58014.4291641   -0.283
 58018.4756485   1.417
 58018.4841369   -0.327
 58018.5337933   1.45
 58018.5437814   -0.094
 58025.4736644   1.18
 58025.4821554   -0.537
 58027.4794889   1.51
 58028.5151658   0.29
 58031.5322943   1.973
 58032.4867943   1.746
 58032.4952921   0.104
 58032.623582    0.896
 58035.5152131   0.163
 58036.492334    -0.005
 58039.4891281   1.5
 58039.4976182   -0.042
 58046.6426238   0.84
 58046.6511232   -0.618
 58048.4777124   1.17
 58051.4934473   -0.398
 58056.4155114   1.706
 58056.5452701   0.106
 58060.449717    1.312
 58060.4582212   -0.242
 58063.5064933   -0.143
 58067.4678132   1.369
 58067.4763139   -0.097
 58067.6584415   -0.225
 58070.5070697   -0.11
 58074.4562957   1.314
 58074.4647984   -0.017
 58075.4960734   1.65
 58075.51218     0.235
 58078.4565667   2.052
 58079.5143398   -0.048
 58081.4658153   1.98
 58081.6627633   -0.501
 58082.7694439   1.228
 58088.4584613   1.756
 58088.4669532   0.091
 58089.4432667   1.479
 58089.4522472   -0.061
 58090.4518343   1.603
 58090.4603352   0.017
 58095.5494575   -0.12
 58097.4625186   1.328
 58097.4710469   -0.153
 58100.4692253   0.045
 58104.4476227   1.477
 58104.4561393   -0.07
 58105.586512    1.234
 58111.6080604   -0.106
